ip_address,domain,malware_hash,threat_type,description,label
5.12.225.248,zcigudocqh5xn04xbjdd.ru,,phishing,Drive-by download serving banking trojan,1
,7hf52pj98yizjni63.cc,,data_exfiltration,Malicious macro in Office document,1
82.214.39.100,,,other,Data exfiltration via DNS tunnelling detected,1
87.3.32.186,tjk8w47rx3xquj6beoy.xyz,,malware,,1
203.81.34.99,nhmdowg234z1p.ru,da621823f79129fd8c4e36d13f7e2407,brute_force,Domain hosting exploit kit distributing malware,1
47.247.17.197,6a9qtz.top,3f252dd293464a436413a14509a498b2,command_and_control,Credential harvesting page impersonating corporate SSO,1
,,,phishing,,0
,,,data_exfiltration,,0
,,,malware,,0
,rutoyjvkbdik0j1.top,,phishing,Botnet command-and-control beacon every 60 seconds,1
,,,brute_force,Phishing email targeting employees with fake login page,1
,,,denial_of_service,not sure,0
124.114.196.58,,f6a807bccdfc6f2a43ed8c3012966313,data_exfiltration,Malicious macro in Office document,1
,,,denial_of_service,,0
11.86.157.183,gnagn7d0o8l.tk,,denial_of_service,,1
,,,other,just checking,0
,v2v8dccswsrhleeuvsl.ru,2334554cc5456352d88263073848957c,other,Ransomware dropper detected in email attachment,1
,mot51308poe1het.ru,e91ded327d79c919c0ac40d5a36e9c51,phishing,Malicious macro in Office document,1
39.250.108.208,,be46a083918b353eb9bc247bf7d73344,command_and_control,Brute force SSH attempts from this IP,1
,nm0pnxi8tbyu.cn,,other,Suspicious outbound traffic to known C2 server,1
31.195.16.123,,90de0ca960730d3f1afd00aa7642a7fb,phishing,Brute force SSH attempts from this IP,1
210.84.39.37,,b4cebb2ec91f44900c2a7ec196c23961de3df1fe9267d489957272d43b971d16,other,Drive-by download serving banking trojan,1
,,,ransomware,,1
,,,command_and_control,,0
207.121.101.19,,,ransomware,Botnet command-and-control beacon every 60 seconds,1
16.4.179.145,,3ca96e98867f69c808694c6fcb70bb92,data_exfiltration,Credential harvesting page impersonating corporate SSO,1
152.206.19.59,,,brute_force,Phishing email targeting employees with fake login page,1
,wsvqyra1yaqekt.com,,phishing,test,0
,,,denial_of_service,Ransomware dropper detected in email attachment,1
74.170.104.7,2zgcixc85uenb3l9e7r.cn,,malware,Domain hosting exploit kit distributing malware,1
59.145.220.3,,5bcb7dbaebdf141582c014aa033714f019f4bd03c35b657d5d7e3fcad3f536bd,malware,,0
135.249.228.205,pw89i5de1fgnh.ru,b5c281d1dea7e7e2d2d78ed0196c6c8cf8dd29ad792c84b4d98f87d16d62c3c6,denial_of_service,,1
,lr0a90hsbzmie207u.com,,data_exfiltration,,0
,b0qzgemrxbi3h.com,,other,not sure,0
,yypysnn8lfaaz7iuj23f.top,,brute_force,Phishing email targeting employees with fake login page,1
,,,malware,Brute force SSH attempts from this IP,1
215.31.47.176,ijter.buzz,f1eb9b5c07975b641bd8e13f5e70d50f810594e4f4cbe8e595ffedc301fb8509,data_exfiltration,Botnet command-and-control beacon every 60 seconds,1
37.227.1.58,vz0a8cdqzl1sk5ulkh.ru,ad44801de7a7f4463c1301d5380da23aceacd0de0ebe0015ca0e6b9f0d541826,denial_of_service,Ransomware dropper detected in email attachment,1
152.56.189.66,,,data_exfiltration,Credential harvesting page impersonating corporate SSO,1
240.181.80.218,,,command_and_control,Suspicious outbound traffic to known C2 server,1
51.35.84.76,,9e7eae293a14549e71508b2b03c5b457a218e51803bad974fcebf61e9d764070,brute_force,Ransomware dropper detected in email attachment,1
220.191.37.244,jxbzubqqq2h7ngpqpe0.top,98b035835a7d4f3d1f4dcd15279373fc,denial_of_service,Domain hosting exploit kit distributing malware,1
1.85.4.121,0ezr35jxp.ru,,command_and_control,Botnet command-and-control beacon every 60 seconds,1
,,a95ab41de31e0c0ad04aa94670356540,malware,Domain hosting exploit kit distributing malware,1
228.220.179.242,eq5rr.ru,,phishing,Malicious macro in Office document,1
171.43.117.31,10huvplc3jhgss.buzz,8475427dafbc7c7d0ce7a2a6de808f0de924b4685085e5cf75952dad5a3a968c,malware,Domain hosting exploit kit distributing malware,1
139.169.176.21,,,brute_force,Malicious macro in Office document,1
139.31.133.217,xrxaxu.tk,,command_and_control,Malicious macro in Office document,1
12.67.0.115,,,data_exfiltration,Domain hosting exploit kit distributing malware,1
,,,brute_force,,0
,2bnm9srh.org,,ransomware,,0
212.149.102.17,,,data_exfiltration,Domain hosting exploit kit distributing malware,1
,e57iy1d3anmm8i9.gov,,phishing,,0
208.71.48.164,,c68e326c1d87a108f54198ac48476b5f011130fbc1432debc8bddaa66b9a533a,malware,Drive-by download serving banking trojan,1
115.113.133.223,n3jeads6c.xyz,30cfce49ac4e7df4473629c065e7f186349f6810a1b0e12c4d16947c64d84525,ransomware,Brute force SSH attempts from this IP,1
,hwxn5.top,08b88104f11a8f1068fc5daa43f622d0671edcad973155b36c0409813597419c,phishing,Domain hosting exploit kit distributing malware,1
226.213.65.33,,,data_exfiltration,,0
230.23.131.252,qewhzyubkx7ikx.net,,data_exfiltration,,0
82.94.48.231,,,brute_force,just checking,0
113.221.114.234,766jyigyzugs.cn,74f4b23bcea3819522997fbcfc5a6eca,other,Phishing email targeting employees with fake login page,1
,h3dg3b45gjd3hh6t1.com,,command_and_control,,0
54.2.125.178,sr0doj2.cc,,data_exfiltration,Data exfiltration via DNS tunnelling detected,1
,dhs2m4sii5w.org,,ransomware,,0
162.251.50.153,r7enjkx3yh.buzz,4d1c2b58b3f27b7d665b9fdc7ab3312343fec8d2f45760ae7aec62bd0e7502bd,malware,Ransomware dropper detected in email attachment,1
161.7.32.9,spsklqd2vd8a.buzz,1528016d9e331fbfe57f8fb1bba12cb5685ee3e01dc1d04fa5be5bd4e80c8d4c,brute_force,Data exfiltration via DNS tunnelling detected,1
,,,other,123,0
,,,data_exfiltration,,0
,,,command_and_control,hello world,0
,zoo5z.ru,206768b1369503ecca6019af6c09f00c,denial_of_service,Ransomware dropper detected in email attachment,1
,fh21it8qdq7q49l.edu,,phishing,,0
,,,command_and_control,Credential harvesting page impersonating corporate SSO,1
,,,denial_of_service,not sure,0
,36k2l3sy8.edu,,data_exfiltration,ignore this,0
124.239.168.148,ymj448z5.buzz,9d3e770bf77d02dd3dc696c4c4774ee2,brute_force,Domain hosting exploit kit distributing malware,1
,,,data_exfiltration,,0
,,,phishing,,0
114.57.230.233,,,ransomware,Suspicious outbound traffic to known C2 server,1
34.160.187.140,y4hsy63y1q7e998.xyz,5c563018ffa9f39c37b9520ac9358787,other,Phishing email targeting employees with fake login page,1
,,,denial_of_service,asdf,0
,,,command_and_control,,0
,,,malware,,0
,,,phishing,,0
41.147.167.227,9cksh1wyjba1w5m3nvj.top,,denial_of_service,,1
,,,command_and_control,Ransomware dropper detected in email attachment,1
150.157.219.160,we764lwe07ym9vcbez.gov,,data_exfiltration,,0
153.112.140.152,,,brute_force,,0
220.4.7.14,,,ransomware,Data exfiltration via DNS tunnelling detected,1
,,,brute_force,,0
49.90.234.227,gajgwscy.cn,,malware,Credential harvesting page impersonating corporate SSO,1
163.40.94.90,,,other,,0
68.211.244.94,,,phishing,,1
,02e1ttc1rt.com,,phishing,,0
,,,data_exfiltration,,0
,,42f0d91ff587e66d6532e60e1502a6a7c62b9d2f7b28a1a4df0b2097e117f851,other,,0
160.231.33.74,,10523972a8b385e591449158ee320b8b1fa74c2ceb4e8d96ff6d07b51c03925e,brute_force,Malicious macro in Office document,1
,bygpdyb3op0usghvfl.tk,ad8e632375b2648ed09d0a6479866a8a,denial_of_service,Data exfiltration via DNS tunnelling detected,1
,,,brute_force,Suspicious outbound traffic to known C2 server,1
218.138.190.115,,32ea58963322597a37a91c418ac4e739,ransomware,Drive-by download serving banking trojan,1
64.158.233.187,,299bfc396d94794a18cb1b8e511fd09b,phishing,Brute force SSH attempts from this IP,1
103.189.160.226,,,other,,0
,1gdb1sp54ztocb.cc,3dfe9016f076be3e479c7b12156705d97c1a7157fd277cbaf1eb0f0d3d02f46e,malware,Phishing email targeting employees with fake login page,1
15.122.4.116,6y9d.ru,,phishing,Domain hosting exploit kit distributing malware,1
69.5.36.204,,,command_and_control,,0
190.218.15.133,,,ransomware,,0
,kebgr0wmbrhruyaznx6.top,,denial_of_service,Phishing email targeting employees with fake login page,1
,uomw6lfhhynodjf7.com,1d36f3625c0f4a5e1106fa7189e99d7b31657bfb84ae698493688a773d9fa9c1,denial_of_service,ignore this,0
,,,denial_of_service,asdf,0
,,fd5343f2dda12512421ee839f703b6bd,data_exfiltration,Botnet command-and-control beacon every 60 seconds,1
127.67.241.18,lx5n1mt.xyz,,data_exfiltration,Data exfiltration via DNS tunnelling detected,1
62.46.85.99,,ea231825990f6de0694f38602f9f30bcfc6d0192e41eab12df3a2ccb7a3b889b,other,,0
,,570cec6d01f8bcdb1bd44c6d1db7b7daa20ebfe620548c10906a181948b57e34,data_exfiltration,,0
,,22dbcc924503deadb32c7b121984b92e,brute_force,,0
84.214.171.13,,,brute_force,,0
53.157.207.125,,,denial_of_service,,0
161.185.65.145,,,command_and_control,,0
206.28.138.161,,,malware,,0
,,190882fe564bd22fcb5e7850e5030ac9,denial_of_service,Phishing email targeting employees with fake login page,1
60.240.45.108,,,malware,Credential harvesting page impersonating corporate SSO,1
237.82.49.9,,,malware,ignore this,0
,,,command_and_control,,0
,,04e20cc9b338b34c2e1074bb6ac323c5,data_exfiltration,just checking,0
,6ecybgcy2p8i.edu,,data_exfiltration,,0
,,2523c552cff7b9d3ff397ad7f44707d73214d84bad09b4b17552510883737b3e,ransomware,,0
,25hnwrthq94lznltcx.buzz,,data_exfiltration,Data exfiltration via DNS tunnelling detected,1
108.217.237.241,,,malware,test,0
244.130.106.26,24hxoqp.tk,,ransomware,,1
148.120.181.132,76flddcsetm8s276.ru,ee3a5fc74864826f556b12bfda6c6fe3,phishing,Drive-by download serving banking trojan,1
,,,brute_force,Suspicious outbound traffic to known C2 server,1
156.178.118.61,qigmtn9iom9.cn,,malware,Malicious macro in Office document,1
121.195.86.230,,,malware,,0
,,,ransomware,ignore this,0
250.217.27.101,4hjmr3rzb4i4jpv.cn,6ff7105e0dc13b866cd724398113a277,phishing,Botnet command-and-control beacon every 60 seconds,1
68.48.241.111,aofo4bgq.tk,aef0c7231d30a84f92af0e1e1f5670f9789274e802275a3c4b9e2a289c5a86e2,phishing,Ransomware dropper detected in email attachment,1
,l0gyl5tzww8t1bqq35.com,,command_and_control,,0
43.245.217.103,,,denial_of_service,not sure,0
7.114.170.100,,,brute_force,Data exfiltration via DNS tunnelling detected,1
125.131.113.149,,7a34f4ed6f0f99c6074ac34d6f317ac1,other,Phishing email targeting employees with fake login page,1
,,477bf693c28061019468607e7682bec96f9427281e1292a7297fccba23144848,other,,0
75.2.231.102,7clhd9r.buzz,,other,Phishing email targeting employees with fake login page,1
,,,other,Malicious macro in Office document,1
,mtejv5.ru,,malware,Botnet command-and-control beacon every 60 seconds,1
2.234.0.53,,,malware,Data exfiltration via DNS tunnelling detected,1
,,,other,hello world,0
89.191.46.208,z89849u.cn,7fec9d0895d8c6541a6f0972ffaa624c5931f90c26147cfc7d0bbdd316451b19,brute_force,Domain hosting exploit kit distributing malware,1
87.1.105.188,,,data_exfiltration,Malicious macro in Office document,1
,,,denial_of_service,,0
165.191.135.50,,ef5e3d0fa6303225402626886b5d698e,phishing,Malicious macro in Office document,1
,,,other,,0
,,d9e22cccb414f600f3ac7513e6ac64b359f2a6972547a4b97a5a03719063da14,ransomware,,0
183.136.225.94,4s2vi1r0mzdoi.buzz,8b92ef4386a1c2bbc9ab29a9ca843c132438ae151360afbc7dd250a8ee9d0915,ransomware,Phishing email targeting employees with fake login page,1
21.108.159.182,,cdcca85ac6f4b2a4425746a499c6fc22,brute_force,Malicious macro in Office document,1
95.217.18.178,xjtt11dzh6nd.tk,db78b1761d36c3db03092250f7beaa31f858a45f08abf2f4f0835b154e6f08da,ransomware,Drive-by download serving banking trojan,1
,,91c03f16be4f903107d07939a04082e3,other,hello world,0
,,,data_exfiltration,,0
,,d2d8f9f5e9baa4fc4b1d6707868b84e91c9e87e4273c541dd12a5f7888a0b6c1,ransomware,hello world,0
159.101.101.151,v4l67o1lz09q1bp.xyz,cd790f54eb6eeb5b168d624d3daddd7b,brute_force,Drive-by download serving banking trojan,1
218.190.165.12,,,command_and_control,Data exfiltration via DNS tunnelling detected,1
,,,malware,,0
,,,phishing,,0
85.162.57.24,,9b84dae5d409b9efa74cf53c3ac3a5b7,command_and_control,Drive-by download serving banking trojan,1
,,,phishing,,0
213.2.158.133,,,command_and_control,asdf,0
217.184.240.122,nenj5nfbg3r.cc,e18517419159f2fd467792a1dd0fdadb6c5ce2a2a550972202397d7e3e00be01,other,,1
,,,denial_of_service,Domain hosting exploit kit distributing malware,1
,,,malware,not sure,0
,ykwolicgg6buciob0utb.cc,,ransomware,Suspicious outbound traffic to known C2 server,1
,,,denial_of_service,,0
,,,command_and_control,test,0
,wre32iw4k8cflf.org,,other,,0
172.81.141.67,xetqgpptjumel0zb.tk,7700de16a1414da62aa58a497defcfad6429cf1f7f3103b89360ab6416a95732,brute_force,Suspicious outbound traffic to known C2 server,1
46.149.162.171,,,ransomware,,0
,0qvb5o3xdyop.org,,brute_force,just checking,0
,,c2cb0eee86707532591fc0dc89215c22,data_exfiltration,asdf,0
,xn25jsh8ysztbnea0.edu,,data_exfiltration,,0
58.113.226.136,,,ransomware,n/a,0
,t7e3kio38.org,1e66375382d5de8c02c40e6112610656,denial_of_service,ignore this,0
,r9w5jio2bbc5l27izcc.com,9ee50ec1f65be0d2e16e49e3b42d357c,phishing,just checking,0
,lc38kc11w8o.tk,506698502002d07bb776e67bfde41b41,brute_force,Domain hosting exploit kit distributing malware,1
114.139.87.122,,,command_and_control,Suspicious outbound traffic to known C2 server,1
85.110.226.90,,,data_exfiltration,Data exfiltration via DNS tunnelling detected,1
69.108.155.244,gn762frtbycqeqs.buzz,,other,Suspicious outbound traffic to known C2 server,1
162.187.245.176,,,denial_of_service,Domain hosting exploit kit distributing malware,1
,xhqxdj.org,,other,n/a,0
109.110.144.83,,e1998e211caa18ef036586862a7355eccc2e2e6abc8d2438f6e72369689a0e04,brute_force,,1
,,,brute_force,,0
,,,ransomware,,0
123.59.196.161,1yb0.top,5f69839139251dbe4bf65cc0dfeb2db819e9ce64458759f96cfe364583fdb6b4,denial_of_service,Phishing email targeting employees with fake login page,1
117.195.251.86,e7k9h7lfj.cc,8145eefe8a334bcc0c1c158f648e4eda8ce173a7c2e064395b7257a25365519f,command_and_control,,1
,kf4qxl3mlr89ctvhzfy.buzz,89d1952bc0e0d60e81b01ab07c12cb4fb15939af571a8c4a48c1079940a7e40a,phishing,Botnet command-and-control beacon every 60 seconds,1
7.188.251.52,1sm1bem2iz6grjr.cn,d7368dedd7ec44f7b2bae448032f998f270fdd4b410e53e5dcf1748271e66539,command_and_control,Drive-by download serving banking trojan,1
,w3fiqw07.edu,,brute_force,,0
206.55.237.224,h9u76.xyz,e230e98c0c4f9cfdd3ef15e118ed6db1221070caeeb2afb344444a3e75ab46e6,denial_of_service,Domain hosting exploit kit distributing malware,1
185.48.70.4,7zapmclhx.buzz,0b0939b183ec3b27a53fd41e7b21ada3ad02901bdb72fa6841e0e9704b2bc7de,malware,Credential harvesting page impersonating corporate SSO,1
,tm7sdwgy63d.ru,ec60ec0bff798e0a21bb3b0089535bc8,denial_of_service,Suspicious outbound traffic to known C2 server,1
,,,phishing,,0
152.163.169.181,ogkhuu98ko.buzz,,other,Credential harvesting page impersonating corporate SSO,1
,uo26qm9o.gov,,phishing,test,0
,,45a59efcc20a3c52cfd5ecdf827807ad,denial_of_service,Domain hosting exploit kit distributing malware,1
65.31.21.193,9p38zuud5c3.cc,,brute_force,Ransomware dropper detected in email attachment,1
103.47.44.252,bil4ggaxttbzqx4z4und.tk,4a8c8c79503fb63f1fa9e4d6bddb19c7b2a0c5fe8676094328464b5c1a24cd80,brute_force,,1
,,,data_exfiltration,just checking,0
178.137.61.69,,,other,,0
,,505325bb073ae7ea1ed8e4958cb5f285e839af237d93658a85af3011b8302bc7,ransomware,,0
106.88.96.37,wb7dtdmu1bg9qivo.tk,604c7252c3fce32d023415db2a7a7371,malware,Credential harvesting page impersonating corporate SSO,1
,,,data_exfiltration,n/a,0
189.4.34.188,hy8th4y86ewqop0q55.buzz,,malware,Brute force SSH attempts from this IP,1
,,,data_exfiltration,,0
252.71.187.132,,467ddecf205049460ae853402e68e374,data_exfiltration,Malicious macro in Office document,1
,,,denial_of_service,,0
14.215.221.38,grxgpi4szeo2hxs.cc,1922eeb8e96b98de05bbc54c67e18e20,brute_force,Ransomware dropper detected in email attachment,1
,,,other,asdf,0
,,,phishing,,0
105.170.213.150,zlipxx.xyz,,ransomware,Drive-by download serving banking trojan,1
34.155.255.131,,a3bae1b8a41217c44b58f32220e2ca7c4513cbd3b7b85c3178dda98b437dbabf,malware,Drive-by download serving banking trojan,1
65.254.27.36,,,brute_force,Data exfiltration via DNS tunnelling detected,1
,qxgylo6864vucu7pc.buzz,6f2763f72ba116c6e621583dd9e3ca582d6024f5ef889c7cc33a5ee8ddfb92b1,brute_force,Drive-by download serving banking trojan,1
,,,other,,0
,,,command_and_control,asdf,0
51.172.89.52,213xpn.ru,,ransomware,Brute force SSH attempts from this IP,1
,,5b38bce42aabfd6feec29bc5e3c25f35fc6723a385a245ba44a7f36e313d02d8,brute_force,Malicious macro in Office document,1
,gtj3qqd6nxq.edu,,brute_force,123,0
,,,command_and_control,,0
,ftt6sbd7j01xgjytfj.org,,brute_force,,0
,kzbgrxx32092svx.cc,,malware,Malicious macro in Office document,1
54.28.191.66,3kvoxrz9s8wln8tcu.xyz,,phishing,Domain hosting exploit kit distributing malware,1
240.168.192.95,,4c403db848fc1ea90ed06acdca466751b3495c8bdcdbaab67eb2e96c6b02e269,denial_of_service,Malicious macro in Office document,1
,,,denial_of_service,,0
226.91.155.168,c21ceityo.cn,3b7a31aff060d22da196351cf8df466449000ac4e8dd2b6500275634f2830382,command_and_control,Botnet command-and-control beacon every 60 seconds,1
9.26.250.125,o6jnba5pq7r8ubs.edu,,ransomware,,0
,,,phishing,,0
150.3.218.49,,,data_exfiltration,Suspicious outbound traffic to known C2 server,1
11.165.192.173,,,ransomware,Botnet command-and-control beacon every 60 seconds,1
,,,denial_of_service,,0
77.167.232.54,,,ransomware,,0
207.69.147.54,,,other,,0
,,,ransomware,,0
,515f7w9xftf8s.ru,,other,Ransomware dropper detected in email attachment,1
43.64.125.181,,,other,Domain hosting exploit kit distributing malware,1
,,,brute_force,Credential harvesting page impersonating corporate SSO,1
62.45.165.39,w7cl8kd2i4a30mbqpxrk.cc,,phishing,Drive-by download serving banking trojan,1
,,,other,,0
76.236.181.85,,095993eaf35d97675a835105153e95bd,other,Drive-by download serving banking trojan,1
,,e7e402ff23990db9fb4b6d8098e8ffcb,other,Domain hosting exploit kit distributing malware,1
249.167.253.253,,967a9fbba7db1e1b6087c29dd8c9f86f,command_and_control,Credential harvesting page impersonating corporate SSO,1
79.223.68.187,,7a64178226522310fd9b6c4581261036,denial_of_service,unknown,0
73.219.99.203,,,command_and_control,Credential harvesting page impersonating corporate SSO,1
202.135.187.189,ikll8bfaifa2r1.cc,0d5c705b5d405dc7a9d8a62e4574e453122acf7d5327e8a5ad701cb5d8b79b11,malware,Malicious macro in Office document,1
136.171.225.215,,,data_exfiltration,Ransomware dropper detected in email attachment,1
20.152.221.78,,,command_and_control,,0
,sriztsguu1gyzd6fo.top,b8bd245078d0b2ed2370b8180d3981587714792c8569d456069cbd82b370e832,brute_force,Drive-by download serving banking trojan,1
,o9ez6l1i12qa.top,fc26d006bab943617ae52e27dead1325,data_exfiltration,Phishing email targeting employees with fake login page,1
130.76.87.31,m2htn.xyz,,malware,Drive-by download serving banking trojan,1
,2bog2n3kj.gov,,denial_of_service,,0
,,,command_and_control,,0
167.250.150.173,,cf425a908438ad16e145551f527bc3d6b144b1f851193d8eaa870fda26a583f4,denial_of_service,,0
200.188.24.43,,,ransomware,,0
59.240.182.152,6p3yg01.xyz,,denial_of_service,Data exfiltration via DNS tunnelling detected,1
,,1205a41ae4218fabd3a470fd8aee7f768d96a0362f3af85cd32282b6c9c698f3,other,asdf,0
141.116.218.73,gg6wefm.com,,data_exfiltration,,0
237.55.54.160,u1j794w.xyz,0feff1cffd052d139352c7baaf1e94b5,malware,Phishing email targeting employees with fake login page,1
,,,phishing,just checking,0
,,96b2839aedaf0162e37992673fc9e3f0d634d35c331060984bd7fbd748d7306d,phishing,Suspicious outbound traffic to known C2 server,1
,,6543b3b6206dc6c4e95cd3550e82544a5ba7c26571cc311923e90e1d965fd6a5,command_and_control,Data exfiltration via DNS tunnelling detected,1
28.85.249.207,4srsbubu2441.tk,,ransomware,Credential harvesting page impersonating corporate SSO,1
146.220.199.192,,,other,Brute force SSH attempts from this IP,1
11.204.208.209,,,malware,asdf,0
160.216.158.53,sl5w5u2flkzy.cn,1046250a38578a33dd62ce9cab35c177bb59a5a9609f04ab73bb2644d36fece1,other,Ransomware dropper detected in email attachment,1
,,,data_exfiltration,Data exfiltration via DNS tunnelling detected,1
,,,data_exfiltration,,0
,,,malware,asdf,0
,,,command_and_control,,0
,,,command_and_control,,0
,,,data_exfiltration,,0
207.169.177.183,,,command_and_control,Suspicious outbound traffic to known C2 server,1
179.241.126.166,,23f636ea3e454a2cc4e00a02e4922508,ransomware,Malicious macro in Office document,1
54.99.18.62,,,denial_of_service,,0
109.2.79.249,,,denial_of_service,Credential harvesting page impersonating corporate SSO,1
110.18.158.6,,,other,Suspicious outbound traffic to known C2 server,1
99.152.60.21,,,other,,0
66.231.35.61,qj862.cc,,brute_force,Suspicious outbound traffic to known C2 server,1
145.4.185.10,a75nzf6xrlnyo04al.ru,b25bd328bca2df89b760c12903363c71fafc0903cd7d8cd6f5a8795558feafed,command_and_control,Credential harvesting page impersonating corporate SSO,1
,5v1tuhhe09q8rx24p4g.cn,a9b3d39e1053b51dac3f387d6d03ba0c,command_and_control,Brute force SSH attempts from this IP,1
101.219.22.248,7gftr.buzz,2dca718687ec173610ee6b03703da23dca68e2e47669f5302eb6326327d1e8c7,ransomware,Data exfiltration via DNS tunnelling detected,1
,,,data_exfiltration,,0
,,,command_and_control,ignore this,0
,9b3fjz7hg8h2e3c.ru,c15dc9e9f272c24ebf39a2e76a24a46ff4b4bc8212116e6cf9da8f3ccb6b3e0e,malware,,1
,wqflmfkyums06xxbq83.edu,,malware,,0
219.165.189.242,nnd8nhpee0.cn,b502630e742efb5743a2749410c388cd7c4a7e8c4b18432147dfa3f99e26885b,denial_of_service,Data exfiltration via DNS tunnelling detected,1
116.201.157.6,fcs8xrvdhq.cc,fb1c546e915b9c010a2de228f977d1c2,phishing,Data exfiltration via DNS tunnelling detected,1
112.6.162.218,,621f98bf3f965fb5dce9e3f30ea5b550,ransomware,Brute force SSH attempts from this IP,1
236.225.202.94,2dom5s1s2aibssub.cc,,brute_force,Phishing email targeting employees with fake login page,1
,,,data_exfiltration,Botnet command-and-control beacon every 60 seconds,1
47.201.190.194,,22c832bfb555db105e182beba52c970fe5e0c3c5485234f5706b48ce8227370e,other,Ransomware dropper detected in email attachment,1
,,b38a8dafe24e853f1e0b9ba9e5c8b62be10a8de41b69cccfc56773c97c808344,brute_force,Brute force SSH attempts from this IP,1
,,,malware,unknown,0
,,29d43aa587c966061b967f5627eae0ca,malware,n/a,0
246.11.252.115,,,data_exfiltration,,0
139.149.225.251,,c274c91a65061518e511aaf376946d29,data_exfiltration,,0
,,,ransomware,just checking,0
130.33.82.11,,501599508d1287fbd22f9b9bbfaaea14cd9bea0276ebfd675724e1a7af7171b3,other,,1
,i6xll9vahry6lntjynu.cc,,data_exfiltration,Credential harvesting page impersonating corporate SSO,1
60.190.229.181,s2eabwhqy.buzz,,brute_force,Botnet command-and-control beacon every 60 seconds,1
49.111.117.187,hk14nn4hbcp8mul.edu,,command_and_control,hello world,0
197.176.6.122,rx75tz0k5jxelynr.top,f01594eb2023372d7c1956d7897eea69bbe2dc8e40ada32bc4c40bdf80e9a609,malware,Drive-by download serving banking trojan,1
97.94.34.92,b449d8xrezk5dlhe3.ru,,ransomware,Brute force SSH attempts from this IP,1
113.40.0.99,r4l9l8qt446ogfhi7l.tk,,brute_force,Phishing email targeting employees with fake login page,1
,,,command_and_control,hello world,0
177.115.137.131,knrkw.edu,,command_and_control,,0
235.168.5.171,,,denial_of_service,,0
,,,malware,Malicious macro in Office document,1
,ipjoyynqdjzxz2g7w.net,,ransomware,,0
70.248.44.32,,c19d9eaaa945a8be714e8bcc02c65ce1,other,Brute force SSH attempts from this IP,1
,,,data_exfiltration,n/a,0
,,,data_exfiltration,,0
33.202.89.251,o03qcznbipc5m0l8.top,1c4ec91fe6e90fd9d056933de12d9b04,brute_force,Domain hosting exploit kit distributing malware,1
29.48.167.156,mrzqzynfvlqq8pju.cc,f447c079fb045f4ffc9ee5c30d29093f,denial_of_service,Credential harvesting page impersonating corporate SSO,1
112.13.239.126,rvkfumfnq4.top,dbfea667cfa9b92fce9002d30556ce8eeac4a4194d8414e470ec2d2c1a36331e,ransomware,Data exfiltration via DNS tunnelling detected,1
31.161.91.107,5ssq4rz.cn,4bc6fdb8a7f21e291c1bdd0db1aefb2648e0d72635cbd0194640cf2feb06a701,ransomware,,1
29.60.221.184,wsieeqmx4evmuds9v.buzz,0e47fe1eabd8b32f88aec4e6dcdabdf681dbda62fa7e21180364baf3dd61dd0a,brute_force,Phishing email targeting employees with fake login page,1
84.114.96.253,,,data_exfiltration,Ransomware dropper detected in email attachment,1
,3ra72x446p5mg.xyz,0156cf9a1ae433e9054eb162bd386367,phishing,Malicious macro in Office document,1
142.10.67.8,,c650a60455b2ec82d7a2fc889eee6a2b,data_exfiltration,Drive-by download serving banking trojan,1
161.171.150.199,,9437eeb01f4c6ea80903b682bcca1472,phishing,Ransomware dropper detected in email attachment,1
,,,brute_force,Phishing email targeting employees with fake login page,1
,,,malware,,0
3.98.94.222,,,denial_of_service,,0
,,,denial_of_service,Data exfiltration via DNS tunnelling detected,1
219.47.231.180,,,phishing,Brute force SSH attempts from this IP,1
178.134.192.9,,,data_exfiltration,,0
190.188.200.111,jdci7f3lkk2y3mea.cn,,ransomware,,1
30.62.152.199,,,malware,Malicious macro in Office document,1
,,,ransomware,,0
20.223.37.161,drz8f1a7vszgk6sy010.xyz,3609abc5b9944e4132ef68e9e4243a41951ae748fd25d1ec28325e262609f9de,command_and_control,,1
29.11.214.183,,,ransomware,,0
,,,ransomware,,1
191.118.165.149,oblisoc09brmnr8wmyqz.tk,909899baba56edfbfde55b25725e9410005761bec3697a130a379c6a0ce377b9,phishing,,1
,,,command_and_control,Domain hosting exploit kit distributing malware,1
,,,command_and_control,,0
,,,data_exfiltration,ignore this,0
,5h5h10.ru,63e489f9a73f597c58955e7b85a44a5a,other,Suspicious outbound traffic to known C2 server,1
226.45.33.100,jwsr4v2i.cn,41b2ba21fd77ffe42a5e1978e1a23027,other,Ransomware dropper detected in email attachment,1
21.132.8.4,h942o108hj3qj11dor.cc,,data_exfiltration,Credential harvesting page impersonating corporate SSO,1
213.52.2.33,,84da648c62c8dbb939d87e8da8549639,phishing,Phishing email targeting employees with fake login page,1
,,,ransomware,,0
163.136.219.195,icbp0jr9asp2.buzz,fbd8d191f13537d8e5930dffe0caeca2,phishing,,1
,,,malware,,0
54.203.88.146,,a15172cacb1d8ebe480ebb78848f0df8,brute_force,Data exfiltration via DNS tunnelling detected,1
,,,command_and_control,,0
231.74.230.168,,,command_and_control,test,0
,,07670cbce32c06cf1a443fd713f46eb5,command_and_control,Credential harvesting page impersonating corporate SSO,1
,,,other,123,0
167.9.49.71,,076083b72ea45fe04d85dcc9544ffd3e6afc14613cde2389dac246167a531d21,data_exfiltration,,1
